"","alabama,conecuh","california,tulare","iowa,montgomery","kansas,haskell","kentucky,anderson","kentucky,carroll","minnesota,dodge","missouri,christian","nebraska,dakota","nebraska,fillmore","new york,oswego","north dakota,foster","rhode island,newport","tennessee,lake","tennessee,rutherford","texas,burnet","virginia,hampton","washington,stevens","wisconsin,sawyer","wyoming,sublette"
"arkansas,carroll",814198.900971486,2261648.45615092,539244.524243179,665419.34455373,781487.318884966,787326.095464748,856157.698142714,76938.2944020446,718979.020353765,583316.047562116,1679169.5858206,1311385.30405351,2013177.17493705,363807.567633647,645442.311519481,751271.079434533,1535918.86796937,2392949.38461514,1079279.14708863,1573298.14983344
"arkansas,sebastian",796760.765593944,2215049.96246425,651121.021575978,645811.036236325,886476.955462348,900346.41207991,987485.743787775,219029.630631137,820584.435398556,657890.858559669,1805139.12791659,1413903.74756741,2126328.03222342,451112.055178272,717756.39050073,610893.593808767,1623637.41125362,2430278.79438813,1215332.82820656,1589415.88478248
"kentucky,nicholas",812758.395403836,3075895.0024072,1001538.08708357,1482144.70541164,94378.7818145914,104448.586491886,974677.69753442,824549.280588531,1155606.83205341,1194374.310949,870086.521858811,1577346.00827129,1147654.12200582,533738.493399763,348869.077492839,1544904.73178152,688990.944835874,2933063.24250726,1024137.38198072,2239077.18379941
"montana,prairie",2323922.69901937,1624766.45602278,1043027.1639105,1097459.39989918,1935092.64126772,1882151.74798639,1025739.04959306,1488618.1935358,857121.924602544,941715.906771672,2315095.838659,495465.779713939,2767093.21428558,1757687.54216467,1994055.01820021,1888633.99693995,2619925.72254399,953684.463613746,1097998.59362339,580213.816182149
"nebraska,grant",1753008.7564942,1601756.21904857,558277.472242252,488583.201361382,1492517.6839812,1455251.02783649,761086.6680089,916926.408581777,431187.357526673,379807.56358099,2096560.50129905,656900.115997927,2524887.63173732,1223508.67630748,1488075.50401411,1274819.62845668,2240262.49272599,1454181.52707827,958389.212947531,679652.133520618
"texas,burleson",925853.918542516,2153226.97352714,1176329.34614616,876102.91962782,1354898.42023263,1388121.3938896,1538456.21456056,785288.0903064,1318755.97275017,1115304.16214275,2309705.85367205,1893405.56672507,2583548.35892437,927950.117811488,1122078.09560366,153133.407229256,2007796.6916202,2682498.36144358,1773587.64532279,1802890.14678657
"texas,terry",1456041.21019156,1543598.49883939,1078857.20006257,504515.518798393,1656771.3113864,1664047.75419165,1457862.94572947,932923.001344445,1140079.34504092,916562.579238638,2542555.93740672,1612513.33400169,2889308.81023422,1225661.41551289,1490313.99231261,472963.946379941,2398299.8559704,2130641.79499946,1704132.29559551,1254483.32336356
"texas,yoakum",1502688.34067726,1499202.16387821,1106284.26770584,519149.90778628,1699951.65369714,1706386.83762628,1483413.05542104,974269.703566936,1161022.22532259,938580.89344469,2581732.67138498,1621448.10338909,2931056.01330302,1269855.01568645,1535523.64595981,512482.019096959,2443105.55633108,2106176.29056825,1729143.33775351,1232539.34664306
"west virginia,berkeley",1205206.04667844,3575643.23105563,1465505.28400085,1997428.63166846,626959.325040919,621019.98784043,1331635.70302339,1354942.49544583,1590912.26397958,1672645.36553814,467384.615331153,1898671.78819542,621260.394790028,1064908.09071821,840512.678298726,2067707.73857906,305177.961647875,3306766.70651154,1287220.22312205,2686413.11905918
"wyoming,teton",2475209.58004736,1087854.63582226,1301953.18950777,1066904.53785553,2237768.73395711,2197336.14873991,1421061.53876984,1651015.50387398,1149742.69601121,1128253.52618107,2760843.01287939,1001433.5113663,3205026.31752525,1968354.35322774,2236349.25291651,1803000.58530285,2974831.18155934,767207.894315253,1552388.84138349,118111.083166689
