"","orig","dest","flow"
"1","arkansas,sebastian","alabama,conecuh",11.2443243089
"2","wyoming,teton","california,tulare",12.7372846828
"3","west virginia,berkeley","new york,oswego",14.2097077691
"4","montana,prairie","north dakota,foster",21.8388782705
"5","west virginia,berkeley","rhode island,newport",12.507474798
"6","arkansas,sebastian","tennessee,lake",6.36901929256
"7","arkansas,sebastian","tennessee,rutherford",6.70056628463
"8","kentucky,nicholas","tennessee,rutherford",5.95282983787
"9","texas,burleson","texas,burnet",12.8205207713
"10","kentucky,nicholas","virginia,hampton",3.18489097247
"11","west virginia,berkeley","virginia,hampton",4.5803872722
"12","wyoming,teton","washington,stevens",5.56266047391
"13","arkansas,carroll","wisconsin,sawyer",6.8188099641
"14","nebraska,grant","wisconsin,sawyer",4.1395552255
"15","wyoming,teton","wyoming,sublette",2.95889302935
"16","arkansas,sebastian","iowa,montgomery",5.65309114773
"17","arkansas,carroll","iowa,montgomery",0.0713304833000024
"18","texas,yoakum","kansas,haskell",1.082132111581
"19","texas,terry","kansas,haskell",20.2437112939
"20","kentucky,nicholas","kentucky,anderson",12.0493304378
"21","kentucky,nicholas","kentucky,carroll",7.29890728556
"22","arkansas,carroll","minnesota,dodge",10.3746766711
"23","arkansas,carroll","missouri,christian",13.0869092091
"24","nebraska,grant","nebraska,dakota",11.7632965177
"25","nebraska,grant","nebraska,fillmore",11.750811889
